Smiles,Standard Value,Standard Units,Molecule ChEMBL ID,value_nm,LogP,TPSA,MW,pIC50
CN1CCc2c(c3cc(C(F)(F)F)ccc3n2CCc2ccccn2)C1,560.0,nM,CHEMBL1783958,560.0,4.285700000000004,21.060000000000002,359.3950000000001,6.251811972993799
CN(C)CCCN1c2ccccc2Sc2ccccc21,3.435,nM,CHEMBL564,3.435,4.241000000000003,6.48,284.42800000000005,8.464073258604431
CN(C)CC1CC2c3ccccc3Cc3ccc(Cl)cc3N2O1,2.344,nM,CHEMBL315772,2.344,4.057400000000003,15.71,328.8430000000001,8.630042392653946
CCOCCn1c(C(=O)C2CCN(CCC3(c4ccc(Cl)c(Cl)c4)CCN(C(=O)c4cc(OC)c(OC)c(OC)c4)C3)CC2)nc2ccccc21,6.47,nM,CHEMBL96141,6.47,7.1743000000000094,95.36000000000001,737.7249999999999,8.1890957193313
COc1cc(C(=O)N2CCC(CCN3CCC(C(=O)c4nc5ccccc5n4Cc4ccc(F)cc4)CC3)(c3ccc(C(F)(F)F)cc3)C2)cc(OC)c1OC,6.33,nM,CHEMBL94834,6.33,8.03720000000001,86.13000000000001,772.84,8.198596289982644
CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1,563.0,nM,CHEMBL17157,563.0,6.445800000000008,43.7,471.6850000000001,6.249491605148654
N#Cc1ccc(CCOC(=O)N2CCN(CCCc3ccccc3)CC2)cc1,280.0,nM,CHEMBL325258,280.0,3.4877800000000025,56.57,377.48800000000006,6.552841968657781
Cc1cc(N(C)C)nc(N[C@H]2CC[C@@H](NC(=O)c3ccc(Cl)c(Cl)c3)CC2)n1,390.0,nM,CHEMBL568400,390.0,4.310920000000003,70.15,422.3600000000002,6.4089353929735005
Cc1ccc(S(=O)(=O)NC(=O)N2CCC(N3CCC(Oc4ccc(Cl)c(Cl)c4)CC3)CC2)cc1,40.0,nM,CHEMBL2158814,40.0,4.707920000000004,78.95,526.4860000000003,7.3979400086720375
CN(C)CC1CC2c3cccnc3Cc3ccccc3N2O1,16.6,nM,CHEMBL331188,16.6,2.7990000000000013,28.600000000000005,295.386,7.779891911959945
C[C@H](c1ccccn1)c1c(CCN(C)C)sc2ccccc12,256000.0,nM,CHEMBL1090433,256000.0,4.552200000000004,16.130000000000003,310.466,3.5917600346881504
O[C@@H]1Cc2ccccc2C(=C2CCNCC2)c2ccsc21,23000.0,nM,CHEMBL4115693,23000.0,3.5229000000000026,32.26,297.42299999999994,4.638272163982407
NCCCCCCCCCCCCCCc1c[nH]cn1,1995.26,nM,CHEMBL155314,1995.26,4.592100000000004,54.7,279.4719999999999,5.700000503883016
